route_id,supplier_id,supplier_name,supplier_city,facility_id,facility_name,facility_city,straight_line_km,road_distance_km,estimated_travel_hrs,primary_highway,route_type,flood_risk_score,congestion_risk_score,disruption_probability,is_primary_route,is_emergency_route,is_active
6ad267a9-e4da-41c9-9f92-c6b542375d27,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,eb0a1ffc-6610-461d-8093-6a12d4937469,Fortis Hospitals Bangalore,Bengaluru,10.8,16.2,0.31,SH/District Road (Bengaluru–Bengaluru),intra_city,0.26,0.19,0.312,True,False,True
2dba5956-3cfb-4aaa-8ac5-1099098700e1,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,6f8122ca-4ab3-4370-aaa4-24715eb38f9a,KIMS Hospitals,Bengaluru,8.5,14.0,0.27,SH/District Road (Bengaluru–Bengaluru),intra_city,0.17,0.19,0.276,True,False,True
ba1a9054-73d2-4385-8055-91055f4afda4,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,dd834eb1-aaae-4891-b2ad-374d652abd13,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,9.0,14.2,0.38,SH/District Road (Bengaluru–Bengaluru),intra_city,0.11,0.1,0.225,True,False,True
d6355b6c-178d-426b-8c37-a77b068ff742,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,65dc85ee-f185-47d6-84aa-43ca635e1c0b,Felix Hospital,Bengaluru,4.5,7.4,0.15,SH/District Road (Bengaluru–Bengaluru),intra_city,0.26,0.33,0.354,True,False,True
198226b2-6dae-435d-b934-3416ce6f2634,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,bed2c1aa-514a-41ac-a282-a483af506301,Rainbow Children's Hospital,Bengaluru,9.8,14.8,0.32,SH/District Road (Bengaluru–Bengaluru),intra_city,0.09,0.13,0.226,True,False,True
74fcfcf2-62ac-481b-a688-57b63cba9332,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,a808bba1-23fa-4a2c-96c5-495ca4360c3f,Victoria Hospital Bengaluru,Bengaluru,6.2,9.8,0.22,SH/District Road (Bengaluru–Bengaluru),intra_city,0.22,0.33,0.338,True,False,True
594e0b0f-c92d-4dc5-8541-c2531a74dae1,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,96dc98c7-a0ad-4c3a-aed1-07de9e210bb7,Bowring & Lady Curzon Hospital,Bengaluru,2.3,3.6,0.08,SH/District Road (Bengaluru–Bengaluru),intra_city,0.22,0.19,0.296,True,False,True
ea2fb936-39bf-42e5-82e2-fda938380f7c,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,e37b51fd-2d91-40ea-892d-e5fa0abd7d93,K.R. Hospital Mysuru,Mysuru,127.2,147.0,2.31,NH-275 (Bengaluru-Mysuru Expressway),express_highway,0.11,0.62,0.381,True,False,True
1e94e9ac-9a20-4924-8218-aa34baa037b5,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,f4b4a7a3-22b2-42b2-83ed-636f0947ef6d,Kidwai Memorial Institute of Oncology,Bengaluru,6.6,9.1,0.22,SH/District Road (Bengaluru–Bengaluru),intra_city,0.14,0.3,0.297,True,False,True
3cb37c6e-74cb-4ac0-88a8-5e9d2e579b6c,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,820f482b-7d4c-4705-b3e9-eea15ecd8762,Sri Jayadeva Institute of Cardiovascular Sciences,Bengaluru,7.4,11.4,0.22,SH/District Road (Bengaluru–Bengaluru),intra_city,0.25,0.22,0.317,True,False,True
2c1a6e47-073d-4a43-9e7c-4d2804b35f4b,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,401cb2c4-3d8c-4c79-8693-b66fb8c9f768,National Institute of Mental Health and Neuro Sciences,Bengaluru,4.9,8.1,0.21,SH/District Road (Bengaluru–Bengaluru),intra_city,0.06,0.13,0.214,True,False,True
18f9d307-2499-458c-9dc7-b8ad700afd56,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,92366c87-92d8-4174-bdac-9d3aedc179b0,St. Martha's Hospital,Bengaluru,10.8,17.3,0.39,SH/District Road (Bengaluru–Bengaluru),intra_city,0.1,0.25,0.266,True,False,True
869373be-e1a7-4f63-9cec-9b8d6caec8f3,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,cc8b8416-bfe6-4b78-9ae0-dc3a028df947,Ramaiah Memorial Hospital,Bengaluru,4.1,5.7,0.12,SH/District Road (Bengaluru–Bengaluru),intra_city,0.18,0.21,0.286,True,False,True
161184b5-5e52-4a86-af1e-85e4d8c84685,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,78399964-5347-49c7-bcbf-e7353d627e13,S Nijalingappa Medical College,Bengaluru,7.5,11.7,0.28,SH/District Road (Bengaluru–Bengaluru),intra_city,0.08,0.14,0.225,True,False,True
1a7c6653-9e3c-4f1a-99a8-37fff4ccb698,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,e5506a3a-f3b6-42fa-a22d-00cff9e0acad,District Hospital Shivamogga,Shivamogga,235.5,307.5,4.43,NH-75 (Bengaluru-Shivamogga),express_highway,0.18,0.18,0.277,True,False,True
c4786e5d-e446-4859-b5f0-e097c294978f,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,fc9a1edb-f1e0-4eb4-af44-f6a3e33ce7b1,District Hospital Davangere,Davanagere,240.3,281.0,3.85,NH-48 (Bengaluru-Davanagere),express_highway,0.19,0.56,0.395,True,False,True
47d0abe2-ed17-4ebd-885c-3dd7ad839efe,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,4de9da93-ced1-40d4-ab48-6dccb51417e7,District Hospital Tumakuru,Tumakuru,60.2,72.9,1.09,NH-48 (Bengaluru-Tumakuru),express_highway,0.1,0.76,0.419,True,False,True
e6b53a93-ebac-4a70-bc00-82948cab3cba,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,b40a7c7e-eb84-47cf-91a0-5e73e42702ca,Columbia Asia Hospital Hebbal,Bengaluru,6.8,11.0,0.22,SH/District Road (Bengaluru–Bengaluru),intra_city,0.18,0.29,0.31,True,False,True
c816a509-46ac-4a6a-a8d7-7fd0f1eb9d6f,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,583abb54-6df1-4432-b2a0-fd6d6fb36ec1,Sagar Hospitals Kumaraswamy,Bengaluru,12.1,18.8,0.39,SH/District Road (Bengaluru–Bengaluru),intra_city,0.08,0.22,0.249,True,False,True
9636737b-b4a3-4816-b71b-58bb0d514b75,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,1760cf46-90e5-4fc8-b564-21695685a3a7,Vikram Hospital Millers Road,Bengaluru,6.0,8.1,0.18,SH/District Road (Bengaluru–Bengaluru),intra_city,0.15,0.14,0.253,True,False,True
a5540463-13b4-44f4-8cec-10ae367e24ce,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,fae91a59-d210-46e8-955c-fe2322805d7f,Cloudnine Hospital Jayanagar,Bengaluru,8.0,11.1,0.24,SH/District Road (Bengaluru–Bengaluru),intra_city,0.1,0.38,0.305,True,False,True
2930200a-5450-42ed-8878-c5912022d86f,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,886a5c01-1a69-44af-bbd8-bfac1c904067,Meenakshi Mission Hospital,Mysuru,121.9,154.4,2.49,NH-275 (Bengaluru-Mysuru Expressway),express_highway,0.23,0.51,0.396,True,False,True
bb59ec5b-cb15-4b4d-8b17-ef2f3d3c5f5b,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,991f7eff-0c45-4d05-9bc6-2c1d3a58c947,District Hospital Hassan,Hassan,155.6,193.9,2.74,NH-75 (Bengaluru-Hassan),express_highway,0.07,0.25,0.254,True,False,True
4e6e48ed-fb6c-4fd4-ae6e-aec9d51a9552,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,3aab1dd4-f79d-4d8d-bb46-cfa3e2513c71,District Hospital Mandya,Mandya,87.3,108.9,1.48,NH-275 (Bengaluru-Mandya),express_highway,0.22,0.24,0.311,True,False,True
7f2c57d8-a188-4f9e-9f0c-3258499701db,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,5.4,8.4,0.19,SH/District Road (Bengaluru–Bengaluru),intra_city,0.06,0.35,0.252,True,False,True
98643fca-52fe-448e-87b7-515b3969f33f,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,7aff3511-d078-448e-a99d-90bfc23f7d81,Manipal Hospitals Bangalore,Bengaluru,2.9,4.9,0.13,SH/District Road (Bengaluru–Bengaluru),intra_city,0.22,0.13,0.25,True,False,True
e94e7dae-b03a-42ec-8783-ae2c4f6d5963,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,6ebb1cd6-4336-4042-a427-21e6d887b651,Sakra World Hospital,Bengaluru,6.0,9.6,0.24,SH/District Road (Bengaluru–Bengaluru),intra_city,0.25,0.32,0.319,True,False,True
35d087ae-6c2b-4d53-9624-3eb43d2d7dc4,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,31a28173-ca6a-4d67-9360-2838c27e34b7,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,4.5,7.3,0.2,SH/District Road (Bengaluru–Bengaluru),intra_city,0.32,0.17,0.302,True,False,True
bb4b9ed8-5be0-4973-979c-dcb5c1314112,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,b49a2296-bdce-41bc-bf54-85c773ddb57d,Aster CMI Hospital,Bengaluru,10.0,13.6,0.3,SH/District Road (Bengaluru–Bengaluru),intra_city,0.16,0.35,0.292,True,False,True
c26d0639-7e6d-4e31-9084-2992555cbd31,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,f067a3f8-7132-4fb0-a81a-596b322e6731,Aster RV Hospital,Bengaluru,0.6,1.0,0.02,SH/District Road (Bengaluru–Bengaluru),intra_city,0.34,0.19,0.316,True,False,True
f679734c-f224-4da9-8f3e-ec433d200a6a,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,943dcbc1-e0cf-405d-924d-ff309d9a66b2,SPARSH Hospital,Bengaluru,7.6,11.6,0.29,SH/District Road (Bengaluru–Bengaluru),intra_city,0.33,0.15,0.3,True,False,True
206090d2-1302-4ad7-beea-41e86edddbf4,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,a8f9f3d4-e4fb-4797-abf5-2ab8c2948574,Kauvery Hospital Marathahalli,Bengaluru,4.8,6.6,0.15,SH/District Road (Bengaluru–Bengaluru),intra_city,0.35,0.37,0.374,True,False,True
9653a872-3ca2-4bfc-b22b-0abc1956cd4c,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,d5b5ef8f-7f44-4963-bd2b-b0d9257a7e70,Apollo Hospitals Bangalore,Bengaluru,6.4,10.3,0.2,SH/District Road (Bengaluru–Bengaluru),intra_city,0.32,0.26,0.329,True,False,True
4a3d428b-4db0-4338-87fa-6c69b28e1d74,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,a0c953e6-f4d9-404d-9135-488a257b9e39,Manipal Hospitals Bangalore,Bengaluru,5.8,8.5,0.17,SH/District Road (Bengaluru–Bengaluru),intra_city,0.25,0.21,0.286,True,False,True
9ebed3b4-0f48-4ab3-a906-6e94210f200b,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,eb0a1ffc-6610-461d-8093-6a12d4937469,Fortis Hospitals Bangalore,Bengaluru,4.9,6.8,0.14,SH/District Road (Bengaluru–Bengaluru),intra_city,0.13,0.38,0.289,True,False,True
2a6940e6-f6a4-414f-93e5-d52a0738859e,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,6f8122ca-4ab3-4370-aaa4-24715eb38f9a,KIMS Hospitals,Bengaluru,5.5,7.9,0.21,SH/District Road (Bengaluru–Bengaluru),intra_city,0.3,0.15,0.288,True,False,True
8b9233f6-ca75-47c0-8169-7758be88b073,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,dd834eb1-aaae-4891-b2ad-374d652abd13,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,3.9,5.6,0.12,SH/District Road (Bengaluru–Bengaluru),intra_city,0.31,0.16,0.295,True,False,True
d6703387-2f89-4f74-a806-2701e983b6b8,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,65dc85ee-f185-47d6-84aa-43ca635e1c0b,Felix Hospital,Bengaluru,5.0,7.3,0.14,SH/District Road (Bengaluru–Bengaluru),intra_city,0.34,0.25,0.334,True,False,True
06713843-b010-40c6-81a2-959b9aee9d66,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,bed2c1aa-514a-41ac-a282-a483af506301,Rainbow Children's Hospital,Bengaluru,2.4,3.4,0.1,SH/District Road (Bengaluru–Bengaluru),intra_city,0.12,0.14,0.213,True,False,True
fac6149c-31a4-4b3f-8203-d5abf0358ba4,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,a808bba1-23fa-4a2c-96c5-495ca4360c3f,Victoria Hospital Bengaluru,Bengaluru,2.1,3.3,0.09,SH/District Road (Bengaluru–Bengaluru),intra_city,0.2,0.31,0.296,True,False,True
791d651c-1ad1-41d4-bec4-9089fbd52fe7,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,96dc98c7-a0ad-4c3a-aed1-07de9e210bb7,Bowring & Lady Curzon Hospital,Bengaluru,5.3,8.2,0.21,SH/District Road (Bengaluru–Bengaluru),intra_city,0.29,0.31,0.332,True,False,True
fdf684eb-621e-4310-8aa9-d864a75341f9,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,e37b51fd-2d91-40ea-892d-e5fa0abd7d93,K.R. Hospital Mysuru,Mysuru,129.6,168.2,2.92,NH-275 (Bengaluru-Mysuru Expressway),express_highway,0.09,0.78,0.393,True,False,True
c4213bf7-9a0f-4ef2-b3a4-8e946257eb1a,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,f4b4a7a3-22b2-42b2-83ed-636f0947ef6d,Kidwai Memorial Institute of Oncology,Bengaluru,1.6,2.5,0.05,SH/District Road (Bengaluru–Bengaluru),intra_city,0.34,0.19,0.316,True,False,True
225969a0-67da-4c30-816a-a92f211e1316,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,820f482b-7d4c-4705-b3e9-eea15ecd8762,Sri Jayadeva Institute of Cardiovascular Sciences,Bengaluru,0.6,1.0,0.03,SH/District Road (Bengaluru–Bengaluru),intra_city,0.22,0.29,0.298,True,False,True
e21d75c5-faf1-4525-a585-f056561fca48,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,401cb2c4-3d8c-4c79-8693-b66fb8c9f768,National Institute of Mental Health and Neuro Sciences,Bengaluru,3.5,4.9,0.13,SH/District Road (Bengaluru–Bengaluru),intra_city,0.18,0.39,0.312,True,False,True
020568f3-418c-4601-8bb1-546da546293d,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,92366c87-92d8-4174-bdac-9d3aedc179b0,St. Martha's Hospital,Bengaluru,3.9,6.1,0.11,SH/District Road (Bengaluru–Bengaluru),intra_city,0.29,0.24,0.311,True,False,True
de924646-5fa8-45bc-8931-70e51a411c4a,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,cc8b8416-bfe6-4b78-9ae0-dc3a028df947,Ramaiah Memorial Hospital,Bengaluru,4.9,8.0,0.23,SH/District Road (Bengaluru–Bengaluru),intra_city,0.08,0.35,0.26,True,False,True
7782d422-7091-4868-a052-a74f30e8d386,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,78399964-5347-49c7-bcbf-e7353d627e13,S Nijalingappa Medical College,Bengaluru,2.1,3.0,0.07,SH/District Road (Bengaluru–Bengaluru),intra_city,0.23,0.36,0.323,True,False,True
c5bdec01-d55b-442f-9403-73cbf9afaf81,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,fc9a1edb-f1e0-4eb4-af44-f6a3e33ce7b1,District Hospital Davangere,Davanagere,247.8,307.4,5.13,NH-48 (Bengaluru-Davanagere),express_highway,0.12,0.72,0.387,True,False,True
0e6f9e2f-7ed3-41c6-919a-815b4dbe98d2,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,4de9da93-ced1-40d4-ab48-6dccb51417e7,District Hospital Tumakuru,Tumakuru,67.7,88.9,1.56,NH-48 (Bengaluru-Tumakuru),express_highway,0.07,0.68,0.355,True,False,True
dc743882-c0d9-4c9d-8355-0f5e773c32c3,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,b40a7c7e-eb84-47cf-91a0-5e73e42702ca,Columbia Asia Hospital Hebbal,Bengaluru,1.2,1.7,0.03,SH/District Road (Bengaluru–Bengaluru),intra_city,0.14,0.14,0.221,True,False,True
4d2c018b-12b8-4598-a7dc-2981e3a85078,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,583abb54-6df1-4432-b2a0-fd6d6fb36ec1,Sagar Hospitals Kumaraswamy,Bengaluru,4.7,7.9,0.21,SH/District Road (Bengaluru–Bengaluru),intra_city,0.14,0.15,0.224,True,False,True
add502c3-e3bf-4ba3-96bf-8332e285c5e9,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,1760cf46-90e5-4fc8-b564-21695685a3a7,Vikram Hospital Millers Road,Bengaluru,1.6,2.2,0.06,SH/District Road (Bengaluru–Bengaluru),intra_city,0.07,0.15,0.196,True,False,True
d2e8bd33-ab5b-4e34-ab67-ce71ff198268,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,fae91a59-d210-46e8-955c-fe2322805d7f,Cloudnine Hospital Jayanagar,Bengaluru,1.8,2.4,0.05,SH/District Road (Bengaluru–Bengaluru),intra_city,0.25,0.22,0.289,True,False,True
6f93b72d-2b66-4747-aa73-3e114880a222,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,886a5c01-1a69-44af-bbd8-bfac1c904067,Meenakshi Mission Hospital,Mysuru,124.2,150.7,2.32,NH-275 (Bengaluru-Mysuru Expressway),express_highway,0.31,0.76,0.475,True,False,True
2c071ca4-72c7-46a9-bf5d-f8cd643be8fa,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,0147e730-a075-4a8a-bd7b-b1b7e82da23d,District Hospital Ballari,Ballari,250.4,290.2,4.95,NH-167 (Bengaluru-Ballari),express_highway,0.12,0.17,0.222,True,False,True
eff92a33-a2f6-40a5-ba29-859a33e43bc7,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,991f7eff-0c45-4d05-9bc6-2c1d3a58c947,District Hospital Hassan,Hassan,161.9,204.6,3.23,NH-75 (Bengaluru-Hassan),express_highway,0.06,0.21,0.21,True,False,True
fc97fd74-8330-473a-9f99-0ac180fff746,966fdd58-5113-4d39-8fcd-4dafa28ecdbd,Sun Pharmaceutical Industries,Bengaluru,3aab1dd4-f79d-4d8d-bb46-cfa3e2513c71,District Hospital Mandya,Mandya,90.1,113.1,1.98,NH-275 (Bengaluru-Mandya),express_highway,0.3,0.12,0.279,True,False,True
df790bdd-d35a-4a48-9c5a-aaf0cb3c6924,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,1.7,2.8,0.05,SH/District Road (Bengaluru–Bengaluru),intra_city,0.34,0.34,0.261,True,True,True
fab9ad91-2d15-4577-ad5e-d602c8b8368b,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,7aff3511-d078-448e-a99d-90bfc23f7d81,Manipal Hospitals Bangalore,Bengaluru,2.5,4.0,0.08,SH/District Road (Bengaluru–Bengaluru),intra_city,0.28,0.14,0.177,True,True,True
9e99536d-3aaf-428f-bf20-e556cb06ec4a,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,6ebb1cd6-4336-4042-a427-21e6d887b651,Sakra World Hospital,Bengaluru,3.1,4.7,0.1,SH/District Road (Bengaluru–Bengaluru),intra_city,0.31,0.24,0.219,True,True,True
b6afba70-17e8-4edc-b2fc-ed73ae572f1b,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,31a28173-ca6a-4d67-9360-2838c27e34b7,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,6.6,9.7,0.2,SH/District Road (Bengaluru–Bengaluru),intra_city,0.13,0.14,0.117,True,True,True
41989a1b-571f-4401-8725-0c9c71da7cfb,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,b49a2296-bdce-41bc-bf54-85c773ddb57d,Aster CMI Hospital,Bengaluru,6.8,10.3,0.24,SH/District Road (Bengaluru–Bengaluru),intra_city,0.12,0.21,0.134,True,True,True
e1877ff6-60bc-4752-88fc-380de6eab3e5,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,f067a3f8-7132-4fb0-a81a-596b322e6731,Aster RV Hospital,Bengaluru,3.5,5.1,0.12,SH/District Road (Bengaluru–Bengaluru),intra_city,0.16,0.31,0.18,True,True,True
b54bce79-169a-4a68-97a2-fc8374cb2ec3,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,943dcbc1-e0cf-405d-924d-ff309d9a66b2,SPARSH Hospital,Bengaluru,10.5,15.2,0.28,SH/District Road (Bengaluru–Bengaluru),intra_city,0.32,0.24,0.223,True,True,True
bf6c344a-1ff4-4df9-a934-5d7773cf5081,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,a8f9f3d4-e4fb-4797-abf5-2ab8c2948574,Kauvery Hospital Marathahalli,Bengaluru,6.4,9.3,0.2,SH/District Road (Bengaluru–Bengaluru),intra_city,0.3,0.3,0.233,True,True,True
e9cd7a9f-8d84-4094-acf0-9ab18f239322,8ad00803-e6d8-456c-99ef-a60f50d83edb,Dr. Reddy's Laboratories,Bengaluru,d5b5ef8f-7f44-4963-bd2b-b0d9257a7e70,Apollo Hospitals Bangalore,Bengaluru,8.0,13.0,0.28,SH/District Road (Bengaluru–Bengaluru),intra_city,0.24,0.19,0.176,True,True,True
